Elemento,Area,Area proteina dentro de celuala,Porcentaje proteina dentro de celula,Eje mayor,Eje menor,Orientacion,Inten_media nucleo,Inten_media_proteina,Estado,Region de pertenencia
1,231,51,22.0779220779221,18.3945601677714,16.0950520196398,-60.2243155572569,0.112112723877429,0.100619641796112,1,1
2,378,313,82.8042328042328,23.9089693049513,20.2203822978766,-43.1417353130493,0.16491337275651,0.188463533561573,1,1
3,184,0,0,18.5966838652861,12.7273337872891,-41.4221469940549,0.112489343563512,0,0,2
4,402,384,95.5223880597015,23.1055888726843,22.253695946108,42.5777035332028,0.201726660813579,0.228231392059312,1,1
5,322,255,79.1925465838509,24.0239126847803,17.1862259623691,-85.2912238636699,0.318048958713921,0.210023139690659,1,1
6,168,5,2.97619047619048,16.3284528340735,13.2440931914068,-64.6437638682493,0.0885854341736693,0.0422735760971055,0,1
7,409,304,74.3276283618582,24.0940668242466,21.6707361644053,88.7666360303647,0.203902392252745,0.165616760151494,1,1
8,2391,1091,45.629443747386,85.3400821716256,48.890629316527,29.9458620521488,0.442471359099892,0.151171468169033,2,1
9,392,267,68.1122448979592,23.7989240868081,21.0462510788673,76.3851021825094,0.155862344937976,0.165336134453782,1,1
10,332,114,34.3373493975904,23.5732299449864,18.029511066819,-82.6356082242305,0.36384360973305,0.106106780061422,1,1
11,267,68,25.4681647940075,21.7038985518239,15.7691387908636,-70.4930811975232,0.104810163765881,0.0905192039362559,1,1
12,1408,620,44.0340909090909,82.825826820869,28.4040627615174,-19.3412160531966,0.284241310160429,0.136438836898396,2,1
13,381,107,28.0839895013123,22.1358263817328,22.0127638519072,67.0446314421965,0.353991045236993,0.104626627553909,1,1
14,335,243,72.5373134328358,21.7041228445529,19.7506293459407,80.7142632925237,0.192203687445128,0.18071992976295,1,1
15,418,338,80.8612440191388,24.9927558624552,21.3794644093771,-79.7157341523837,0.391622103386809,0.244244300591051,1,1
16,289,8,2.7681660899654,21.4043560377304,17.3437536349147,-76.7734117121654,0.368736006513332,0.0311961462785806,0,1
17,396,188,47.4747474747475,24.3419278686336,20.7707442744049,-57.4300407407867,0.36079421667657,0.122816399286988,1,1
18,347,19,5.47550432276657,21.6017674632023,20.629983969686,-7.27971807001297,0.340419280103973,0.0518053907441938,0,1
19,231,0,0,19.1976748096308,15.4284822316704,43.0174672098385,0.108887191240132,0.00427807486631016,0,1
20,404,379,93.8118811881188,23.326159223238,22.138380449766,-16.2830880539875,0.311881188118812,0.251252184041934,1,1
21,395,270,68.3544303797468,26.5721631176351,19.3281265473303,-67.0019729276501,0.40005956813105,0.179091586001489,1,1
22,2355,565,23.9915074309979,113.234125076773,45.1166177324041,76.7607521073485,0.211266808209484,0.0787194538112489,2,1
23,413,350,84.7457627118644,24.7329023986714,21.3386534421851,81.8790026614312,0.446318188292266,0.278887148079571,1,1
24,330,143,43.3333333333333,25.5390018086677,16.7977755541679,-81.4690638151834,0.16172311348782,0.118015448603684,1,1
25,373,356,95.4423592493298,23.451534968862,20.399659798382,-88.1237287343835,0.266435367712769,0.243000578247385,1,1
26,287,4,1.39372822299652,22.3567429936646,16.5004425256145,-54.0389312340139,0.151028216164515,0.0342693174830907,0,1
27,392,118,30.1020408163265,25.4961027199344,19.6436321717199,86.7505493878297,0.45594237695078,0.106962785114046,1,1
28,377,147,38.9920424403183,22.9486825411065,21.0535691537716,-80.8795081913327,0.39499661933739,0.122317574244552,1,1
29,349,204,58.4527220630372,30.8965448273018,14.708335771764,-38.6554915975027,0.548098207764481,0.166121692229901,1,1
30,362,298,82.3204419889503,25.568870967095,18.1617434654011,-76.9420392806831,0.30764814212978,0.20755064456722,1,1
31,406,161,39.6551724137931,27.1917358960919,19.1203249427543,-71.9314190825718,0.354505940307158,0.109601081812036,1,1
32,1918,1024,53.3889468196038,99.2820945444075,37.5150327670771,63.1776118148919,0.341949334478318,0.142648592283629,2,1
33,183,57,31.1475409836066,20.3041087670266,11.589857246469,75.3628753212381,0.11818279224258,0.0965605914496945,1,1
34,948,358,37.7637130801688,37.0139525430993,34.6545530677202,-27.2665204918804,0.505861669562339,0.107326052783984,2,1
35,289,137,47.4048442906574,22.5913256016076,16.9876860506713,50.6963220729392,0.1068322138544,0.129140375873533,1,1
36,360,18,5,24.6267192782948,18.7118832331562,-60.0464153501689,0.348082788671024,0.0553159041394334,0,1
37,371,340,91.644204851752,22.5032258346819,21.0738403305455,72.5251360651762,0.511960255800433,0.283103430051266,1,1
38,436,345,79.1284403669725,26.2353166190902,21.2215366603581,-78.3996881321991,0.234871379744559,0.222719913653535,1,1
39,381,119,31.2335958005249,24.3202390389467,20.0285146752605,-67.8761999953364,0.397931140960321,0.100036024908651,1,1
40,367,216,58.8555858310627,29.3366092458798,16.5588936023178,72.9880268542368,0.179206069348721,0.149318801089918,1,1
