Elemento,Area,Area proteina dentro de celuala,Porcentaje proteina dentro de celula,Eje mayor,Eje menor,Orientacion,Inten_media nucleo,Inten_media_proteina,Estado,Region de pertenencia
1,327,218,66.6666666666667,23.7331027617876,17.6645598622795,53.0020375346895,0.296588115368472,0.213587575703065,1,1
2,359,257,71.5877437325905,25.0340831632749,18.3777067119096,50.2937493039395,0.267027145119887,0.239346769348408,1,1
3,326,250,76.6871165644172,21.727967228616,19.1853906184121,67.1019175511607,0.304258390472754,0.271803199807531,1,1
4,374,277,74.0641711229947,24.6335452448346,19.434209802056,68.9005894652623,0.315382195659013,0.243745412603545,1,1
5,362,49,13.5359116022099,33.3683240458084,14.7822688562856,-87.834115288011,0.372949842920594,0.0760372657350231,0,1
6,145,63,43.448275862069,15.6393836858527,12.0384385259836,-20.9010934265057,0.2,0.136497633536173,1,1
7,331,267,80.6646525679758,25.2275571870339,16.9340903721479,-80.0999106909622,0.411966115751437,0.296167288667734,1,1
8,420,145,34.5238095238095,29.3680940923047,18.9591718378686,34.790183884085,0.208160597572363,0.135004668534081,1,1
9,360,141,39.1666666666667,26.1009341049702,17.813918246485,82.4988410359014,0.223834422657953,0.142973856209151,1,1
10,1051,850,80.8753568030447,46.5701630120147,35.151872438983,-65.9992332093708,0.414328090893827,0.301643626051754,2,1
11,254,167,65.748031496063,23.4226936853035,14.6160166378812,66.6213623869376,0.410236220472441,0.205249343832021,1,1
12,251,53,21.1155378486056,21.5918841884539,15.1061682471499,63.6066308633026,0.251574095773768,0.0801968596203421,1,1
13,1396,528,37.8223495702006,58.0397809255616,46.1966149918766,-35.9147683325147,0.292227091409631,0.145800325861004,2,1
14,770,531,68.961038961039,69.7039936667212,21.1999412312749,80.0945449932758,0.319149477973008,0.252436974789917,2,1
15,336,259,77.0833333333333,29.9235029628101,14.5470905103659,77.5428727924517,0.305275443510738,0.320786647992531,1,1
16,234,109,46.5811965811966,21.9370011913844,13.7411520907266,85.0481138574547,0.201809954751131,0.149539131892073,1,1
17,319,199,62.3824451410658,32.2653254876794,13.4747955813477,1.87192952332932,0.27733726719528,0.260335607597271,1,1
18,234,144,61.5384615384615,18.8835954542822,16.0010433749231,67.0391288320982,0.322423328305681,0.207474442768561,1,1
19,258,222,86.046511627907,22.351126354579,15.211499368164,70.5676789716572,0.618011855905152,0.299802401580788,1,1
20,317,226,71.2933753943218,27.2510781968733,14.9747705772987,81.5283473303746,0.341225954104039,0.278084987938393,1,1
21,793,112,14.1235813366961,72.9913427594335,21.3730976212753,42.4764422042185,0.347560764532799,0.087476201073116,2,1
22,396,222,56.0606060606061,29.2604926850335,17.9010555512031,-37.518700897456,0.275153495741731,0.202267775797188,1,1
23,254,131,51.5748031496063,23.7290528299253,14.0802103595257,64.9169834528707,0.143862899490505,0.14889609387062,1,1
